Statement,Label
Widgets!,FALSE
Cooling the risen dragon not so easy,FALSE
If you're wondering why we like Rachel Maddow ,FALSE
If you thought the first video was bad ,FALSE
Phase one,FALSE
Year in review: 2009,FALSE
Comic book girl,FALSE
Ear on the ground: Perspectives on Wikileaks,FALSE
United PAP divided Opposition?,FALSE
Government to blame for Singaporean s housing woes: Opposition,FALSE
Ways to make money with stocks,FALSE
MediaCorp produces Matrix prequel,FALSE
Party pooper on Thursday still timely on Saturday,FALSE
Straits Times reach dropping,FALSE
Singapore migrants buying insurance,FALSE
He said NO?!,FALSE
And the winner of the writing competition is ,FALSE
Message for US this week: Go green or be owned by China,FALSE
Mandarin is not my mother tongue (part one),FALSE
New Nation writes to MP Denise Phua,FALSE
Like hell on earth ,FALSE
Conform or be whitewashed,FALSE
Should undergraduates buy insurance from their friends?,FALSE
Thaipusam: Drummers continue despite initial police warning,FALSE
Ace of bass,FALSE
Yes we (look like we) can,FALSE
Is the Lee Kuan Yew = Nelson Mandela quote sinister or stupid?,FALSE
Just being Ris Low,FALSE
Paranoia is a legitimate feeling,FALSE
Lee Kuan Yew's daughter confesses ,FALSE
Why does The Straits Times report the news the way it does?,FALSE
Exchange student is dead wrong about NUS academic freedom,FALSE
Damn you lazy SOPA activist,FALSE
Why should anyone care if Yaw Shin Leong screws a goat?,FALSE
Who s the mystery woman involved with ex-chiefs of SCDF CNB?,FALSE
Indoor skydiving gives you the greatest feeling money can buy,FALSE
Chinese tabloid Lianhe Wanbao the unlikeliest hero?,FALSE
PARC ROSEWOOD,FALSE
Photographers spotted in the wild,FALSE
Don't talk Chinese in parliament,FALSE
PM Lee addresses heterosexual couples,FALSE
The Bible expands into horror movie territory ,FALSE
PM Lee defies his father,FALSE
Only 67.2 percent of NUS Science graduates are fully employed?,FALSE
PAP regrets not whitewashing HDB flats before by-election,FALSE
33 scenes only true blue S'poreans will remember,FALSE
Straits Times Forum writer thinks Pritam Singh is Chinese,FALSE
Son of Punggol Koh Poh Koon is forever alone,FALSE
Dr Koh Poh Koon is forever alone,FALSE
SMRT Ltd (Feedback) puts professional pundits to shame,FALSE
Son of Punggol bounded by geography forever & ever,FALSE
Son of Punggol forever bounded by geography,FALSE
Result of WP victory suspected as early as 930 p.m.,FALSE
Shouldn t Lee Li Lian win by-election to prove meritocracy works?,FALSE
Chen Show Mao still preferred over Daniel Goh as future prime minister,FALSE
Quality of PAP rally chicken rice dropping say aunties uncles,FALSE
Scuffle breaks out among relatives as divorcee insists she is still eligible for ang baos,FALSE
Man continues 10-year battle to prove that he s completed national service,FALSE
More S'poreans praise efficacy of spitting on their EZ-Link cards,FALSE
Another S'pore PR set to move to Perth after he was caught throwing stuff onto the road,FALSE
More protesters against fare hike could have showed up at Hong Lim Park if they did not lose their way,FALSE
Indie music Laneway Festival 2014 deemed a failure after massive crowd attended,FALSE
S'poreans strip Bernice Wong of Miss Singapore Universe 2003 crown,FALSE
Sunday Times publishes Lee Kuan Yew s photo twice even though news were not about him,FALSE
S'poreans touched by British expat Anton Casey s heartfelt apology,FALSE
S'poreans fear police enhanced powers to strip search will attract exhibitionists to Little India,FALSE
S'poreans vow to repeatedly fantasise about Bernice Wong-Casey,FALSE
Poor S'poreans apologise to rich white guy,FALSE
Fare hike benefits all S'poreans,FALSE
S'poreans proud of Cecilia Cheung even though she is not a S'porean,FALSE
Parliament passes hipster control bill patronising pretentious cafes to be made illegal,FALSE
S'poreans to Khaw Boon Wan: We Don't remember when anyone used religion to make money ,FALSE
S'poreans agree with Khaw Boon Wan: We can't remember the last time anyone used religion to make money ,FALSE
SG50: S'pore govt claims credit for timing Joanne Peh-Qi Yuwu baby s conception with 1965 movie release in Aug,FALSE
City Harvest Kong Hee went home to kneel on durian husk for half an hour due to ST headline,FALSE
S'pore National Stadium nominated for Stadium of the Year Award for uniting S'poreans,FALSE
Customers cook wash plates & pay for meal as dearth of S'poreans in F&B sees restaurants go fully self-service,FALSE
S'pore govt confident they can churn out enough superficial SG50 celebration ideas to last till Aug 2016,FALSE
S'pore govt confident they can churn out enough superficial SG50 celebration ideas to last till Aug,FALSE
Another survey finds S'porean workers are stressed as if it only happens in S'pore,FALSE
Indie Laneway Festival 2015 fails yet again after attracting 13000 mainstream people to attend,FALSE
